transaction_id,customer_id,amount,payment_method,failure_reason_raw,customer_ltv,recent_retries,time_since_last_attempt_mins,ideal_recovery_action
d4055888-c242-44eb-8e20-f170046fc90f,20ba089a-9e30-46b6-9b6b-262072cd510b,2348.72,UPI,risk_flag,29932.92,1,466,give_up
ed580c5f-43c7-4abc-896a-d99a1c7cbd5d,248af3f5-41ae-4c8c-9f84-eb9ef43ce002,9766.82,UPI,gateway_timeout,7143.34,0,0,retry_now
9b842063-1c79-4510-b047-00b45f24c263,a7118178-88df-47d5-ab9e-a2699ce385ac,14883.25,UPI,gateway_timeout,38.94,3,1184,give_up
9d804fd8-f5db-4320-b93a-dc7b007943ba,4affeeb4-9f02-4237-8204-bf8319074e2a,9181.67,UPI,gateway_timeout,14561.46,0,0,retry_now
8f4b9072-21e4-4f9a-b6bf-61b26f87b773,a15abc6d-a55b-4561-885f-f04cecfb5055,11779.79,UPI,gateway_timeout,22803.5,0,0,retry_now
c4a1e9ab-09fb-480e-a7c2-ec0994902454,aa58c89d-eb45-4d50-a5ec-8d504e2760e1,9117.1,UPI,gateway_timeout,2322.52,0,0,retry_now
5a48916d-15ae-4b1f-b349-3ff73b570b27,280db49c-a2cc-4fa8-9e62-550973078e44,12127.88,UPI,insufficient_funds,48281.6,3,776,give_up
6ef194df-5aa3-4f69-b5d3-0254849fc6b1,ad599ed6-5c6a-4081-8363-12360f80d63d,9153.85,UPI,gateway_timeout,34163.18,0,0,retry_now
02545106-15bf-48f5-a1b6-f1734a325a29,1c041b04-aa45-49ae-91f6-cef9548dc631,11332.87,Debit Card,insufficient_funds,9111.8,0,0,retry_later
321f768f-517b-49cb-bbff-99c69548aeb4,a904adfb-2395-458f-bfde-99e37a9c1191,12635.85,Credit Card,insufficient_funds,1565.66,0,0,retry_later
d5bddeb2-8e3f-48fe-a702-51c5971ea214,5dd5f94a-231c-46a9-8182-36cac8f547d6,4904.85,Credit Card,gateway_timeout,36363.6,3,1275,give_up
3b80b1ce-6a57-425a-b06e-507281f6a78c,a4886632-6a32-4801-9f91-3c9deae88ae4,12432.78,UPI,gateway_timeout,13567.45,0,0,retry_now
a79f6cd9-708c-4234-87a6-f29344079a56,f59540f1-68fc-4587-9de5-c4ba4536900f,12034.93,UPI,gateway_timeout,7046.21,0,0,retry_now
d6ecd7b9-8dde-4788-83cd-eecf4efe55dc,feb49228-fc45-450c-b9d6-a001c62e00ca,92.78,UPI,risk_flag,9935.78,1,1162,give_up
ba23d5a7-5121-4521-b309-523005a43ae2,6bf26a48-dcf4-479b-80e9-f354ab6ef090,13895.25,UPI,gateway_timeout,30298.0,1,1017,retry_later
8596004e-ce23-4534-b69f-c9637dcb547a,d3bfa31a-b177-4bdb-a4d8-ec1ef621d079,962.74,UPI,incorrect_pin,16544.9,1,406,retry_later
1a6fcff8-bf0e-463c-a451-9ce7e2e1036a,6510b445-eaa6-4896-98fe-e12b80a2c39c,8423.04,Credit Card,incorrect_pin,13736.09,0,0,retry_later
6432f8bc-908f-4cf5-8941-46ab1840fbe5,dd6d9a19-8ee7-4627-827b-b04c67357491,3547.41,UPI,risk_flag,36086.48,2,397,give_up
37fdb066-1f09-4680-88f3-4f42ca13eea1,a5f257fd-fe3a-470f-bbdc-951685ed8f6e,1627.29,Credit Card,incorrect_pin,1270.96,0,0,retry_later
af734c9f-d97c-418a-9a66-dd9de7a05155,c8850321-f94d-472d-9d58-36741a3c319b,13614.42,UPI,gateway_timeout,25428.53,0,0,retry_now
ac0bc93d-fba8-4e1d-bcfb-1ce41ea1cf07,46cee309-05be-459a-9b60-3f37f8af21b6,1163.93,UPI,gateway_timeout,11439.91,1,1266,retry_later
6725b76a-2518-4587-9d86-27b2508eed58,7e74b85f-81bb-4184-b46b-ff208b21b4ed,13073.19,UPI,risk_flag,31670.19,2,1051,give_up
da25c2c5-b31c-499d-8c3d-df09ff2ada81,7faf2135-249e-4105-a1f0-159ee825b6fd,1840.1,UPI,gateway_timeout,16217.25,2,1254,retry_later
5ca1e2de-8fbb-4492-bf4d-e2f56978ac6b,99a6d6c3-48cf-4414-8345-2bcda5fbc9f8,12272.04,Net Banking,insufficient_funds,21355.39,0,0,retry_later
36070c14-5123-44bb-9791-256dd5dccccc,7079674c-9c4c-4559-80bc-31f39dd9c0ae,3339.4,Debit Card,insufficient_funds,20870.55,0,0,retry_later
67dfdef9-d521-462d-ba6a-6e967d3d45de,fff1e60b-e414-4e58-befd-d72aea0a90cf,7786.67,UPI,gateway_timeout,16160.15,3,1256,give_up
35fde3ab-77c6-4411-8176-843a219e83ef,904019d2-5c22-49be-ab8f-d756a9b222e2,10447.6,Credit Card,insufficient_funds,12343.8,0,0,retry_later
3e0aa937-43ed-44f1-995f-57fec2ee9b4c,2e123652-0c85-4f2f-9643-a86b58936096,14649.46,Debit Card,insufficient_funds,13339.05,4,219,give_up
a66c84cb-df02-48aa-a774-bd0281112181,dea62c13-e622-46d3-914a-f2609ee92b9f,2181.97,UPI,gateway_timeout,11978.09,3,729,give_up
ea9bb5e8-5a59-44ae-aefb-97bdf4474b0e,a2c6ce2c-34d8-4130-8851-de9e05c438c0,3639.98,Wallet,expired_card,18482.72,0,0,switch_method
b256d5d1-e6a7-4e82-b65b-9a98c6695635,84b8e677-2413-4c18-8385-77b55783f096,12248.31,Debit Card,incorrect_pin,19941.22,4,143,give_up
40afd32c-f3b4-4ce3-8c96-8190cf21f13e,00575e18-1664-453f-be4d-060bb77c9d1b,8867.49,Debit Card,gateway_timeout,2038.76,0,0,retry_now
26626723-7f47-4d42-96e5-206c53bf8288,ae716806-237e-4568-a8e8-2959d76aab9d,9681.14,Credit Card,insufficient_funds,11324.79,0,0,retry_later
1fe55d6e-96e2-4e2c-911a-ef1bec3cdbaa,06cbd44f-f8d7-4c6c-8840-5b14e64d79b2,2071.44,UPI,gateway_timeout,46836.5,0,0,retry_now
432364c2-b07e-4738-ba5a-3eaae2b44e7f,4ac46718-5283-4161-bf3b-312e21e13b1e,3876.54,UPI,insufficient_funds,43866.97,3,143,give_up
4f89b6eb-e1df-42a0-803f-7d2a11b2b575,61cb0dcd-0275-4576-96e6-e070bebc5607,1405.61,Debit Card,incorrect_pin,12092.61,0,0,retry_later
0d5e3dbd-b7a0-48f0-87f5-9fd05d0a2db8,a8ad8471-8079-4006-b584-79bc17c4fb01,5244.65,Debit Card,risk_flag,16951.49,1,815,give_up
106e84f1-6233-4f2a-b87d-08a5606c30b2,5c6b9fe4-bc85-4980-9689-a73ce3c31d9b,12765.42,Debit Card,expired_card,44388.5,0,0,switch_method
5c0f9c60-1244-4043-81a2-0f7d15501f25,8d929d61-187a-49a3-a89d-35bfea316eb1,147.86,Net Banking,expired_card,30321.45,2,509,switch_method
de6753a9-8a27-4f3d-89ab-1a387d7ebe40,19fa46a8-536a-4ac5-9240-ec05721cc3ea,8235.52,Net Banking,insufficient_funds,8040.4,0,0,retry_later
6771b340-2b7b-45b6-aeb1-9b4d8077361a,96a4a94e-f6b0-4719-9f71-4bc72a85ac2d,3566.36,Credit Card,incorrect_pin,35608.96,0,0,retry_later
44e3e830-eb06-46ff-a6e3-2d1102ea7e4d,7a47ffa7-be36-4f67-a15a-44b5b36a3958,9867.62,UPI,gateway_timeout,42461.17,1,1056,retry_later
18058a8a-2c05-4404-af74-bbacecadae76,2adb093a-7149-4025-a306-9888bacfad89,8852.16,Credit Card,incorrect_pin,12523.09,1,229,retry_later
17c3db94-f829-41ba-86d1-5a47eaf03c2b,fb409a75-e41e-4801-b95b-610c6bbaaa6e,7544.53,UPI,incorrect_pin,39740.57,1,283,retry_later
943bd40c-44df-4d7d-bfa0-c67f614d7449,8f098071-acba-4060-9153-1db498e01dae,8584.34,Credit Card,expired_card,24959.67,0,0,switch_method
9e74f70e-40d2-444f-8143-ca4f47caadbf,55feb45b-0a90-45c3-ab4e-e8c011d4fb1f,4200.61,Debit Card,insufficient_funds,23497.23,4,517,give_up
b1236db9-7ace-4ac5-b3e7-a675857b9c8d,9e40601f-e845-4b32-9e7d-2d34f9a15275,14500.16,UPI,insufficient_funds,21409.21,3,1122,give_up
fe138625-4fcf-476b-9e51-82bf66783055,7427d40b-ccde-4eca-bf17-e4b1698818b2,12768.54,Wallet,expired_card,19254.89,0,0,switch_method
869c3722-bee7-4295-928a-15e8d1911a48,143c342e-2769-4c6e-bd61-c4dd67e96fff,10443.49,UPI,insufficient_funds,46807.74,0,0,retry_later
d5780b74-dc89-41a8-b34e-830f6bf66155,d9f6fa5a-72f1-4019-9d29-b87930fd7f7b,2109.86,Credit Card,insufficient_funds,49502.69,1,154,retry_later
78caf559-89f6-4e0c-8027-97981a425c88,9671d448-ae3d-46de-a676-408cb090e7c7,10636.58,UPI,gateway_timeout,6831.07,2,1062,retry_later
7c484e5b-53ae-4b7b-adc0-12744423b3ec,0f5c1c6d-ac21-453f-850f-6519b794c2ef,13699.48,UPI,incorrect_pin,43353.62,2,902,switch_method
85a16e5c-acb1-4316-b312-d4d6f2f923a6,b9190472-0c8d-4569-a995-ff91f22cce4d,11938.93,Credit Card,expired_card,35098.34,1,971,switch_method
f7ee5344-c607-4b6d-99b8-9aa5dc152104,2539f1d4-735b-4632-97c2-21ea7d06a2d6,10083.67,Debit Card,insufficient_funds,21923.71,0,0,retry_later
d6dab35e-6c4e-4328-8e8e-54d8cf34e4d5,7257869f-00fd-47ff-be0b-e926c96e3c98,12907.47,UPI,insufficient_funds,41946.68,4,304,give_up
c036bd13-babf-43fe-9b4c-b18d2df1d953,efa5d9aa-80df-41b7-bda2-b5ca360e8b54,7838.43,UPI,incorrect_pin,6353.03,0,0,retry_later
6d9fb24a-4202-48e7-b60e-d97a7dbd8f4c,16ec59c4-8417-4031-afb3-fc2418f0ca7a,784.71,Debit Card,insufficient_funds,4267.37,1,883,retry_later
21164f2d-aff3-4c94-96cd-b251eeea35c7,ce0ab2b7-ca90-4686-a27f-9f5810a36408,14543.36,Credit Card,incorrect_pin,6637.27,0,0,retry_later
9fa7b3c7-c7b5-475a-b12c-b3bf6accfb04,9d88cbaa-1b6b-43a8-b13d-4499c60888ef,11163.2,Debit Card,insufficient_funds,21676.04,0,0,retry_later
b517e701-a225-4259-b1d9-404ed935f595,b19ea4c2-9765-4aaf-8ed3-f600f2f97af4,10330.61,UPI,insufficient_funds,21415.72,0,0,retry_later
2ea9691a-8990-4c55-9705-0efc53eb5a83,eb71e0da-a406-4a20-ba71-b79f3ec5d395,1417.16,UPI,risk_flag,11989.37,0,0,give_up
3ad3e5ce-7fa2-45e5-b9e6-08dce537dda8,2749cf69-8f13-4fcd-ada4-f06419837cc3,9860.1,UPI,risk_flag,25834.81,1,580,give_up
89064cf2-5047-4a83-bc5d-fdb4903cea78,b0090e35-b565-415e-b052-89f8cb3ce4fb,11370.11,Credit Card,incorrect_pin,17798.63,0,0,retry_later
c8a85730-b8d3-4de0-ab29-a5991f9ad85d,34e46bb8-ef39-4ffd-ad2c-cde0cd3de312,12833.35,UPI,insufficient_funds,2036.44,0,0,retry_later
99af4bf6-b641-4425-83e7-f3d70e7fb32d,8ba87d2d-da85-4d72-be00-78ecf587f4ee,7107.34,Debit Card,incorrect_pin,24580.79,0,0,retry_later
b79d1c5b-2354-4e0c-aa98-168bfe434e0b,7117d31d-868b-4ac3-9bd0-75ce91f69f80,9530.05,UPI,gateway_timeout,30792.5,0,0,retry_now
9ba9f886-c1c1-4771-bd53-99486a5783ad,f3fc849c-b77e-4a32-8a3c-f2a7ab66aafb,12848.78,UPI,gateway_timeout,25156.81,1,1348,retry_later
e6526ff8-371c-44c4-87ef-1c38665389e6,e5a4dffb-b9aa-4eed-a3aa-123ed9023b76,13009.31,Credit Card,incorrect_pin,47212.58,3,159,give_up
861d3c06-f245-4b72-ae2a-f5d71f59b475,bfecff6f-1010-49f6-a3f3-8842a145211f,6879.21,Net Banking,expired_card,32164.41,0,0,switch_method
da41ac64-4581-4f5c-bd0f-a2452257dfc9,f45bca57-253b-4d4d-b1c7-1e6e6925aaea,13581.21,Credit Card,risk_flag,48059.53,0,0,give_up
6d529c83-8933-4af3-be4f-a7c96c6721d9,ed1eab0d-32b1-40e8-8959-0f9106b7fba7,1425.7,UPI,insufficient_funds,911.09,0,0,give_up
9ab351e9-826a-4969-80f4-e9f887ff2235,6713f69a-ee07-4408-87fe-a4b3051827c0,358.85,Credit Card,insufficient_funds,42243.77,0,0,retry_later
5b474edf-619a-4ad7-978b-3ab978f9cf93,ef48ff2c-8966-4073-97f6-4edd59f532ae,9437.85,Debit Card,insufficient_funds,34836.86,0,0,retry_later
5d68c5d2-8a76-4440-8dee-dc4cf8a8b1fc,7afb46c0-0dcc-4327-b398-8964f1547de4,2669.82,Debit Card,expired_card,14101.73,2,456,switch_method
d586e08e-0796-4448-9fe1-af63ab87f43a,de38e818-0fec-434e-ac5f-f57800b2a0eb,3757.75,Credit Card,incorrect_pin,6384.49,1,95,retry_later
032b1726-df29-4ab6-ac9e-b5854f4c7a2f,b87777a2-b143-4cbd-bb0c-9dbf8aaa85a5,11265.56,UPI,risk_flag,21449.7,2,216,give_up
9be4877c-4dd3-478a-9089-408640b6a700,73ac08db-59dc-44f4-9ceb-04a6c652af10,5850.38,UPI,gateway_timeout,24828.06,0,0,retry_now
ec8feb47-c434-4376-a8ab-1a86be6f18b0,07106184-372f-44da-964a-310c88760d87,12708.68,UPI,insufficient_funds,47927.07,0,0,retry_later
7c750cb2-3aa9-40b8-9b0d-052a3714f6dd,2fe557a6-36b1-402e-8bb5-9e784898c8f8,7400.45,UPI,risk_flag,24126.05,1,143,give_up
420c61ec-db70-4c4e-8301-70d4ec9c9c1f,87bd4823-dd52-49dc-ba8c-304bdc8996a5,11288.09,Credit Card,insufficient_funds,33625.92,0,0,retry_later
436820d8-f8e5-4ba2-9c98-e90ef0aeb44e,2b22aabd-5912-409a-a30b-a12f8c37cd73,872.81,Debit Card,expired_card,24721.02,0,0,switch_method
347509f5-58c8-4e07-b19b-55a6b6ddbb31,ceec7c9e-cb8f-4db9-a0d3-d9b1c0d7fd14,1764.83,Credit Card,incorrect_pin,17545.75,2,587,switch_method
c180123a-b055-4336-bffb-c097acfa4b4c,c24de928-ade4-4f4c-b4bd-6b13940a18b2,6397.11,Credit Card,expired_card,41924.04,2,1191,switch_method
42dc7557-ab63-4f7f-a3c4-67abde5f2174,cd3755be-059c-46e4-bb30-c044b217f839,1281.72,UPI,incorrect_pin,4067.44,1,338,retry_later
73671e8d-9c21-40ee-82b6-2667d341f0b1,bcea5eba-a861-429f-aa16-0e5d1a8e49b8,13616.33,Credit Card,expired_card,11834.26,2,1324,switch_method
aaec2e48-50b8-47ed-ae9b-c2223ffe24de,af02fb52-bc27-4020-ad35-c4f52e625899,8380.48,Debit Card,gateway_timeout,38857.35,0,0,retry_now
8f74fa61-0f50-49e1-84d2-60c3ab0b5030,7d4b83bd-3696-42fa-8340-959c0695287c,180.19,Credit Card,risk_flag,24631.26,0,0,give_up
63796c0e-5367-4690-8dd4-8f395faed142,2e828b88-11f8-4100-ba33-7db0bd765d79,9741.66,Credit Card,insufficient_funds,5876.31,0,0,retry_later
8a7553b2-0b39-4ad8-a006-0d9d6fce0082,2531b93d-602b-45e0-a4b6-24f810b94dfb,4292.82,Debit Card,incorrect_pin,18743.53,4,823,give_up
f251dd0c-aba6-4e75-b270-e3b7ff1f9036,2757080a-ff6e-4246-9058-d98f81be336c,8344.52,Credit Card,incorrect_pin,48895.03,2,814,switch_method
08a67e44-78f5-4be3-9e15-1b6f17fa329d,ab0d2127-bb28-48ff-b570-7798e9550b13,8312.28,Debit Card,incorrect_pin,3689.83,4,1425,give_up
fd3b9796-0c14-4f77-afd5-3931d210e6c6,3ec1b92f-82d0-4880-93d4-220d14272f85,10456.91,UPI,gateway_timeout,49791.57,0,0,retry_now
c4f5f4cb-93c9-4aff-9326-2ea6fed191a3,aab33b09-9b26-4cd6-8e73-ff75267bfc77,877.38,UPI,gateway_timeout,47935.12,3,357,give_up
fb0e981b-9858-4d6c-8ea7-80c176661f4e,c9532649-fd1d-48af-a317-4b7b5c748899,6960.84,Credit Card,incorrect_pin,9406.06,0,0,retry_later
67b4f84d-b170-4bce-8167-f18b404f0412,de0f20c0-d64f-4dec-9cea-0a4fba4c599b,14793.3,UPI,gateway_timeout,48719.74,0,0,retry_now
fd3174ef-59dc-4d1a-b324-1172820890d8,baf6d201-6aec-450b-abb3-a06b60d57286,10274.12,Credit Card,incorrect_pin,40689.75,0,0,retry_later
d2e495df-b33d-4fa8-a314-0fb180d62280,320fea5f-928e-4699-92c6-0cd436a01771,10888.54,UPI,risk_flag,47490.0,2,449,give_up
ded5a925-5cb3-4ebd-b0d5-436a1affb62d,d4055396-48c7-4ade-95f2-86b38886a01c,6174.71,UPI,incorrect_pin,8241.71,0,0,retry_later
30aa29c3-ea58-48ae-87e4-45cfa7c709c9,c45dafbd-c365-47ba-bb5e-924230430ea5,11246.18,Debit Card,incorrect_pin,18836.95,4,1240,give_up
80877697-c1e0-4db9-b922-ed9f9d106f85,2d3de28c-26b6-45cd-b46f-1e52bf032346,561.96,Wallet,incorrect_pin,3175.59,0,0,retry_later
